"filename", "language", "JSON", "XML", "JavaScript", "YAML", "JSON with Comments", "TypeScript", "Docker", "Ignore", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\payment-script-init.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 16, 12, 70
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\payment\express-checkout-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 302, 0, 37, 46, 385
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\payment\stripe-elements-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 6, 31
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\products\filter-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 234, 0, 5, 23, 262
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\products\product-breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 2, 10, 79
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\products\product-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 153, 0, 22, 22, 197
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\products\product-detail-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 500, 0, 26, 45, 571
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\products\product-detail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 6, 13, 164
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\products\product-quick-buy.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 39, 56, 438
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\products\product-variant-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 277, 0, 20, 32, 329
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\products\related-products.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 12, 107
"c:\Users\Mahir\Saved Games\DuneFlame---Frontend\components\products\search-results-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 152, 0, 2, 13, 167
